Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
31/12/2018,LTCUSD,31.56,31.62,29.42,29.78,170381.65,5176293.63
30/12/2018,LTCUSD,30.69,31.95,29.95,31.56,149556.15,4657326.72
29/12/2018,LTCUSD,32.22,33.24,30.3,30.69,208135.59,6632606.1
28/12/2018,LTCUSD,27.72,33.53,27.72,32.22,312456.67,9701505.92
27/12/2018,LTCUSD,30.52,31.09,27.48,27.72,223032.66,6419969.31
26/12/2018,LTCUSD,30.77,31.89,28.9,30.52,248511.84,7525060.41
25/12/2018,LTCUSD,33.05,33.05,29.66,30.77,297121.66,9136381.49
24/12/2018,LTCUSD,33.07,36.78,32.52,33.05,504870.25,17584193.8
23/12/2018,LTCUSD,31.59,33.84,31.43,33.07,258853.22,8471147.46
22/12/2018,LTCUSD,30.2,31.6,29.73,31.59,136704.59,4177458.57
21/12/2018,LTCUSD,32.36,33.06,29.62,30.2,444190.39,13956015.03
20/12/2018,LTCUSD,29.05,33.2,28.66,32.36,482241.62,15137946.39
19/12/2018,LTCUSD,30.12,31.59,28.64,29.05,446339.18,13493901.87
18/12/2018,LTCUSD,28.88,30.2,27.71,30.12,285005.48,8212543.71
17/12/2018,LTCUSD,25.24,30.48,25.15,28.88,484721.53,13696876.84
16/12/2018,LTCUSD,23.4,26.67,23.33,25.24,411657.61,10543056.06
15/12/2018,LTCUSD,23.17,23.83,22.89,23.4,152883.92,3562657.16
14/12/2018,LTCUSD,22.84,23.46,22.17,23.17,213934.62,4878512.25
13/12/2018,LTCUSD,24,24.17,22.68,22.84,172173.12,4032087.53
12/12/2018,LTCUSD,23.22,24.89,23.01,24,162500.83,3923099.43
11/12/2018,LTCUSD,23.97,24.38,22.72,23.28,164065.25,3852646.34
10/12/2018,LTCUSD,25.3,25.65,23.55,23.97,203874.25,4977740.35
09/12/2018,LTCUSD,24.19,26.62,24.06,25.3,216983.85,5516359.81
08/12/2018,LTCUSD,24.77,26.7,22.95,24.19,399853.54,9805793.1
07/12/2018,LTCUSD,26.25,26.34,22.24,24.77,711696.86,17454260.19
06/12/2018,LTCUSD,28.71,30.2,25.73,26.25,322613.92,9015919
05/12/2018,LTCUSD,30.71,31.06,28.58,28.71,208970.1,6197846.05
04/12/2018,LTCUSD,30.5,31.86,29.5,30.71,175540.82,5406859.09
03/12/2018,LTCUSD,33.34,33.45,29.56,30.5,253956.81,7910329.44
02/12/2018,LTCUSD,33.77,34.6,32.78,33.34,165147.07,5549736.66
01/12/2018,LTCUSD,31.65,34.8,31.02,33.77,182729.46,6060324.98
30/11/2018,LTCUSD,33.5,34.15,30.77,31.66,232383.52,7471132.76
29/11/2018,LTCUSD,34.43,35.4,32.7,33.5,281310.58,9522686.23
28/11/2018,LTCUSD,30.85,36,30.71,34.43,459881.44,15506907.84
27/11/2018,LTCUSD,29.1,31.32,28.23,30.85,276649.15,8196567.04
26/11/2018,LTCUSD,30.43,31.8,27.56,29.1,451762.94,13387985.1
25/11/2018,LTCUSD,28.6,31.92,26.37,30.43,540573.9,15430042.66
24/11/2018,LTCUSD,31.69,32.98,27.67,28.6,327796.99,9755649.36
23/11/2018,LTCUSD,31.3,32.77,30.33,31.69,241295.09,7557451.08
22/11/2018,LTCUSD,34.29,34.7,31.13,31.3,200443.3,6662140.89
